date,1. open,2. high,3. low,4. close,5. volume
2020-09-08 16:26:00,7.04,7.04,7.04,7.04,1779.0
2020-09-08 16:25:00,7.04,7.0402,7.03,7.04,31444.0
2020-09-08 16:19:00,7.04,7.0402,7.04,7.0402,1716.0
2020-09-08 16:18:00,7.05,7.05,7.05,7.05,728.0
2020-09-08 16:17:00,7.05,7.05,7.04,7.04,610.0
2020-09-08 16:15:00,7.05,7.05,7.05,7.05,378.0
2020-09-08 16:14:00,7.05,7.05,7.0402,7.0402,645.0
2020-09-08 16:13:00,7.05,7.05,7.05,7.05,207.0
2020-09-08 16:12:00,7.05,7.05,7.05,7.05,3987.0
2020-09-08 16:11:00,7.0302,7.04,7.03,7.04,5683.0
2020-09-08 16:10:00,7.04,7.04,7.03,7.0301,5258.0
2020-09-08 16:09:00,7.04,7.04,7.03,7.0302,1109.0
2020-09-08 16:08:00,7.03,7.04,7.03,7.04,1479.0
2020-09-08 16:07:00,7.03,7.03,7.03,7.03,328.0
2020-09-08 16:06:00,7.0302,7.0302,7.0302,7.0302,230.0
2020-09-08 16:04:00,7.03,7.0498,7.03,7.0498,753613.0
2020-09-08 16:03:00,7.04,7.04,7.04,7.04,311.0
2020-09-08 16:02:00,7.03,7.04,7.03,7.04,6143.0
2020-09-08 16:01:00,7.04,7.04,7.03,7.03,2642.0
2020-09-08 16:00:00,7.05,7.06,7.03,7.04,1243913.0
2020-09-08 15:59:00,7.055,7.06,7.05,7.055,286827.0
2020-09-08 15:58:00,7.06,7.06,7.05,7.055,152626.0
2020-09-08 15:57:00,7.06,7.06,7.05,7.06,59911.0
2020-09-08 15:56:00,7.06,7.06,7.05,7.06,74819.0
2020-09-08 15:55:00,7.06,7.06,7.05,7.06,266194.0
2020-09-08 15:54:00,7.06,7.07,7.05,7.055,240429.0
2020-09-08 15:53:00,7.06,7.07,7.05,7.06,401950.0
2020-09-08 15:52:00,7.075,7.0768,7.06,7.06,307931.0
2020-09-08 15:51:00,7.08,7.09,7.07,7.075,412168.0
2020-09-08 15:50:00,7.085,7.09,7.08,7.085,344472.0
2020-09-08 15:49:00,7.08,7.09,7.07,7.0858,164661.0
2020-09-08 15:48:00,7.08,7.09,7.07,7.08,223076.0
2020-09-08 15:47:00,7.08,7.09,7.08,7.08,112091.0
2020-09-08 15:46:00,7.095,7.1,7.08,7.085,136612.0
2020-09-08 15:45:00,7.1,7.1,7.09,7.1,119943.0
2020-09-08 15:44:00,7.095,7.1,7.09,7.1,46726.0
2020-09-08 15:43:00,7.0872,7.1,7.08,7.095,397048.0
2020-09-08 15:42:00,7.08,7.09,7.07,7.0894,203602.0
2020-09-08 15:41:00,7.08,7.08,7.07,7.08,207095.0
2020-09-08 15:40:00,7.07,7.08,7.07,7.075,107984.0
2020-09-08 15:39:00,7.075,7.08,7.07,7.07,74957.0
2020-09-08 15:38:00,7.075,7.08,7.07,7.075,53771.0
2020-09-08 15:37:00,7.075,7.08,7.07,7.075,147839.0
2020-09-08 15:36:00,7.065,7.08,7.06,7.07,213338.0
2020-09-08 15:35:00,7.07,7.08,7.06,7.065,165294.0
2020-09-08 15:34:00,7.075,7.08,7.07,7.075,35430.0
2020-09-08 15:33:00,7.075,7.08,7.07,7.08,86472.0
2020-09-08 15:32:00,7.09,7.09,7.07,7.0748,296414.0
2020-09-08 15:31:00,7.075,7.09,7.07,7.08,313815.0
2020-09-08 15:30:00,7.0799,7.08,7.07,7.0737,60795.0
2020-09-08 15:29:00,7.0732,7.08,7.07,7.075,56751.0
2020-09-08 15:28:00,7.055,7.08,7.0532,7.075,275055.0
2020-09-08 15:27:00,7.05,7.06,7.05,7.055,112389.0
2020-09-08 15:26:00,7.065,7.07,7.05,7.0552,318205.0
2020-09-08 15:25:00,7.07,7.07,7.06,7.065,138332.0
2020-09-08 15:24:00,7.065,7.07,7.06,7.07,28716.0
2020-09-08 15:23:00,7.065,7.07,7.06,7.065,58087.0
2020-09-08 15:22:00,7.0672,7.07,7.06,7.0632,123756.0
2020-09-08 15:21:00,7.065,7.07,7.06,7.0677,46700.0
2020-09-08 15:20:00,7.055,7.07,7.055,7.065,135252.0
2020-09-08 15:19:00,7.05,7.06,7.05,7.0528,77583.0
2020-09-08 15:18:00,7.05,7.07,7.05,7.055,229743.0
2020-09-08 15:17:00,7.055,7.06,7.04,7.06,281080.0
2020-09-08 15:16:00,7.055,7.06,7.05,7.05,64645.0
2020-09-08 15:15:00,7.05,7.06,7.05,7.055,108643.0
2020-09-08 15:14:00,7.055,7.06,7.05,7.055,44720.0
2020-09-08 15:13:00,7.06,7.06,7.05,7.06,80180.0
2020-09-08 15:12:00,7.0568,7.06,7.05,7.055,80383.0
2020-09-08 15:11:00,7.0398,7.055,7.03,7.055,296896.0
2020-09-08 15:10:00,7.0315,7.04,7.03,7.035,87404.0
2020-09-08 15:09:00,7.035,7.04,7.03,7.035,43176.0
2020-09-08 15:08:00,7.035,7.04,7.03,7.04,56342.0
2020-09-08 15:07:00,7.04,7.045,7.03,7.04,105646.0
2020-09-08 15:06:00,7.03,7.045,7.025,7.04,266580.0
2020-09-08 15:05:00,7.0472,7.0472,7.02,7.03,167265.0
2020-09-08 15:04:00,7.0448,7.05,7.04,7.04,39095.0
2020-09-08 15:03:00,7.05,7.055,7.04,7.0433,64240.0
2020-09-08 15:02:00,7.0649,7.07,7.05,7.05,73364.0
2020-09-08 15:01:00,7.07,7.0759,7.06,7.065,79022.0
2020-09-08 15:00:00,7.07,7.0754,7.06,7.075,120162.0
2020-09-08 14:59:00,7.065,7.07,7.06,7.07,45011.0
2020-09-08 14:58:00,7.043,7.07,7.04,7.07,245151.0
2020-09-08 14:57:00,7.045,7.05,7.04,7.0471,47942.0
2020-09-08 14:56:00,7.045,7.05,7.04,7.04,37510.0
2020-09-08 14:55:00,7.045,7.05,7.04,7.04,199087.0
2020-09-08 14:54:00,7.045,7.05,7.04,7.0468,161034.0
2020-09-08 14:53:00,7.05,7.06,7.04,7.0468,74175.0
2020-09-08 14:52:00,7.06,7.07,7.05,7.05,114163.0
2020-09-08 14:51:00,7.06,7.07,7.06,7.065,117826.0
2020-09-08 14:50:00,7.056,7.07,7.055,7.0636,105778.0
2020-09-08 14:49:00,7.0564,7.06,7.05,7.055,158249.0
2020-09-08 14:48:00,7.055,7.06,7.05,7.0554,30833.0
2020-09-08 14:47:00,7.0597,7.06,7.05,7.0501,251338.0
2020-09-08 14:46:00,7.05,7.06,7.045,7.055,242905.0
2020-09-08 14:45:00,7.0572,7.065,7.04,7.05,1155636.0
2020-09-08 14:44:00,7.055,7.06,7.03,7.05,2650123.0
2020-09-08 14:43:00,7.05,7.06,7.05,7.05,150061.0
2020-09-08 14:42:00,7.06,7.06,7.05,7.0528,56342.0
2020-09-08 14:41:00,7.055,7.06,7.05,7.055,45568.0
2020-09-08 14:40:00,7.065,7.07,7.05,7.05,248810.0
2020-09-08 14:39:00,7.07,7.07,7.06,7.065,15867.0
2020-09-08 14:38:00,7.06,7.07,7.06,7.065,427251.0
2020-09-08 14:37:00,7.065,7.07,7.06,7.0628,96364.0
2020-09-08 14:36:00,7.065,7.07,7.06,7.0697,75262.0
2020-09-08 14:35:00,7.06,7.07,7.06,7.065,23747.0
2020-09-08 14:34:00,7.055,7.07,7.05,7.07,281051.0
2020-09-08 14:33:00,7.0542,7.06,7.05,7.055,31148.0
2020-09-08 14:32:00,7.065,7.07,7.05,7.055,78826.0
2020-09-08 14:31:00,7.06,7.07,7.05,7.06,464253.0
2020-09-08 14:30:00,7.065,7.07,7.06,7.06,27059.0
2020-09-08 14:29:00,7.07,7.075,7.06,7.0678,93327.0
2020-09-08 14:28:00,7.079,7.08,7.07,7.07,69301.0
2020-09-08 14:27:00,7.08,7.09,7.07,7.07,277064.0
2020-09-08 14:26:00,7.085,7.09,7.08,7.085,80618.0
2020-09-08 14:25:00,7.085,7.09,7.08,7.0801,76852.0
2020-09-08 14:24:00,7.1,7.1,7.08,7.0832,172738.0
2020-09-08 14:23:00,7.1,7.11,7.09,7.0909,160993.0
2020-09-08 14:22:00,7.105,7.11,7.1,7.1,13526.0
2020-09-08 14:21:00,7.1001,7.11,7.1,7.105,25776.0
2020-09-08 14:20:00,7.105,7.11,7.1,7.11,62434.0
2020-09-08 14:19:00,7.1,7.11,7.1,7.101,25950.0
2020-09-08 14:18:00,7.1,7.11,7.1,7.1,51376.0
2020-09-08 14:17:00,7.105,7.11,7.095,7.1001,384102.0
2020-09-08 14:16:00,7.1,7.1072,7.1,7.1,112654.0
2020-09-08 14:15:00,7.11,7.12,7.1,7.105,268173.0
2020-09-08 14:14:00,7.125,7.13,7.11,7.11,139492.0
2020-09-08 14:13:00,7.1201,7.13,7.12,7.125,36410.0
2020-09-08 14:12:00,7.13,7.13,7.12,7.125,46784.0
2020-09-08 14:11:00,7.1228,7.13,7.12,7.1239,39324.0
2020-09-08 14:10:00,7.125,7.13,7.12,7.12,95269.0
2020-09-08 14:09:00,7.125,7.13,7.115,7.1241,266230.0
2020-09-08 14:08:00,7.1341,7.14,7.12,7.12,518040.0
2020-09-08 14:07:00,7.1341,7.14,7.13,7.135,34488.0
2020-09-08 14:06:00,7.135,7.14,7.13,7.135,55025.0
2020-09-08 14:05:00,7.13,7.14,7.13,7.135,65762.0
2020-09-08 14:04:00,7.1372,7.14,7.13,7.13,160676.0
2020-09-08 14:03:00,7.135,7.14,7.13,7.135,49738.0
2020-09-08 14:02:00,7.14,7.14,7.13,7.135,58394.0
2020-09-08 14:01:00,7.135,7.14,7.13,7.1332,55807.0
2020-09-08 14:00:00,7.135,7.14,7.13,7.14,76742.0
2020-09-08 13:59:00,7.135,7.14,7.13,7.135,40955.0
2020-09-08 13:58:00,7.135,7.14,7.12,7.13,599675.0
2020-09-08 13:57:00,7.14,7.14,7.13,7.13,68414.0
